id,date,discount,manufacturer_id,product,product_id,quantity,store_id,total_value,value
116,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,995,3_8,9.93,9.98
117,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,0.33,3_8,3.29,9.98
118,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,345,3_8,3.44,9.98
119,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,0.52,3_8,5.19,9.98
120,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,415,3_8,4.14,9.98
121,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,0.09,3_8,0.9,9.98
122,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,1.17,3_8,11.68,9.98
123,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,0.35,3_8,3.49,9.98
124,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,225,3_8,2.25,9.98
125,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,0.24,3_13,2.4,9.99
126,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,255,3_8,2.54,9.98
127,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,0.33,3_13,3.3,9.99
128,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,95,3_8,0.95,9.98
129,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,0.17,3_8,1.7,9.98
130,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,335,3_8,3.34,9.98
131,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,0.51,3_8,5.09,9.98
132,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,255,3_8,2.54,9.98
133,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,395,3_8,3.94,9.98
134,2019-06-03,0.0,554,HORTFG PERA RED BARTLETT KG,3345,0.53,3_8,6.33,11.94
135,2019-06-03,0.0,554,HORTFG PERA RED BARTLETT KG,3345,0.54,3_13,5.96,11.04
136,2019-06-03,0.0,554,HORTFG PERA RED BARTLETT KG,3345,535,3_8,6.39,11.94
137,2019-06-03,0.0,278,PUDIM DR OETKER COCO CX 50 G,159783,1.0,3_13,2.29,2.29
138,2019-06-03,0.0,30731,BANDEJA PLEION GRANDE 44X30X8 CM 75 L 1 UN 737,130576,1.0,3_8,8.79,8.79
139,2019-06-03,0.0,46706,CESTO PARAMOUNT ORGANIZADOR QUADRATTA 34X27X9 1 UN,249928,1.0,3_8,24.99,24.99
140,2019-06-03,0.0,3116,PAPEL HIG NEVE TQ SEDA FDN 4x30 M,25148,1.0,3_8,6.49,6.49
141,2019-06-03,0.0,3116,PAPEL HIG NEVE TQ SEDA FDN 4x30 M,25148,1.0,3_13,6.99,6.99
142,2019-06-03,0.0,3116,PAPEL HIG NEVE TQ SEDA FDN 4x30 M,25148,1.0,3_8,6.49,6.49
143,2019-06-03,0.0,3116,PAPEL HIG NEVE TQ SEDA FDN 4x30 M,25148,1.0,3_13,6.99,6.99
144,2019-06-03,0.0,3116,PAPEL HIG NEVE TQ SEDA FDN 4x30 M,25148,1.0,3_8,6.49,6.49
145,2019-06-03,0.0,5999,CONFEIT OPERA DE LIMAO KG,173052,0.08199999999999999,3_8,2.45,29.9
146,2019-06-03,0.0,5999,CONFEIT OPERA DE MARACUJ KG,173054,146,3_8,4.37,29.9
147,2019-06-03,0.0,5999,CONFEIT OPERA DE MARACUJ KG,173054,0.08199999999999999,3_8,2.45,29.9
148,2019-06-03,0.0,3484,MARIA MOLE APTI COCO CX 50 G,71332,1.0,3_8,2.39,2.39
149,2019-06-03,0.0,48697,PAPEL PRATIC CASA ALUMINIO ROLO 30CM X 4 M,179435,1.0,3_13,3.59,3.59
150,2019-06-03,0.0,48697,PAPEL PRATIC CASA ALUMINIO ROLO 30CM X 4 M,179435,1.0,3_13,3.59,3.59
151,2019-06-03,0.0,48697,PAPEL PRATIC CASA ALUMINIO ROLO 30CM X 4 M,179435,1.0,3_13,3.59,3.59
152,2019-06-03,0.0,3013,PAPEL HIG DUALETTE FD LV12 PG11 UN,162476,1.0,3_13,14.04,14.04
153,2019-06-03,0.0,44011,PAPEL HIG COTTON FD LV12 PG11 12x30 M,209211,1.0,3_13,14.94,14.94
154,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
155,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
156,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
157,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
158,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
159,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
160,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
161,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
162,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
163,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
164,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
165,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
166,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
167,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
168,2019-06-03,0.78,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.700000000000001,14.48
169,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
170,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
171,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
172,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
173,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
174,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
175,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_13,13.98,14.48
176,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
177,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
178,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
179,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
180,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
181,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
182,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
183,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
184,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
185,2019-06-03,0.5,6806,PAPEL HIG MILI DUAL FDN LV12 PG11 12x30 M,133081,1.0,3_8,13.98,14.48
